-5,4.61591
-4.95,4.61591
-4.9,4.61591
-4.85,4.61591
-4.8,4.61591
-4.75,4.61591
-4.7,4.61591
-4.65,4.61591
-4.6,4.61591
-4.55,4.61591
-4.5,4.61591
-4.45,4.61591
-4.4,4.61591
-4.35,4.61591
-4.3,4.61591
-4.25,4.61592
-4.2,4.61592
-4.15,4.61592
-4.1,4.61592
-4.05,4.61592
-4,4.61592
-3.95,4.61592
-3.9,4.61592
-3.85,4.61592
-3.8,4.61593
-3.75,4.61594
-3.7,4.61595
-3.65,4.61597
-3.6,4.61601
-3.55,4.61605
-3.5,4.61612
-3.45,4.61623
-3.4,4.61638
-3.35,4.61659
-3.3,4.61688
-3.25,4.61729
-3.2,4.61784
-3.15,4.61859
-3.1,4.61959
-3.05,4.62089
-3,4.62259
-2.95,4.62477
-2.9,4.62752
-2.85,4.63096
-2.8,4.63521
-2.75,4.64039
-2.7,4.64664
-2.65,4.65407
-2.6,4.6628
-2.55,4.67293
-2.5,4.68452
-2.45,4.69762
-2.4,4.71222
-2.35,4.72828
-2.3,4.74566
-2.25,4.76421
-2.2,4.78369
-2.15,4.80377
-2.1,4.82408
-2.05,4.84418
-2,4.86358
-1.95,4.88174
-1.9,4.89809
-1.85,4.91206
-1.8,4.92309
-1.75,4.93063
-1.7,4.93418
-1.65,4.93335
-1.6,4.92778
-1.55,4.91727
-1.5,4.90171
-1.45,4.88113
-1.4,4.85571
-1.35,4.82575
-1.3,4.79169
-1.25,4.75411
-1.2,4.71371
-1.15,4.67125
-1.1,4.62763
-1.05,4.58375
-1,4.54057
-0.95,4.49905
-0.9,4.46014
-0.85,4.42472
-0.8,4.39361
-0.75,4.36755
-0.7,4.34714
-0.65,4.33288
-0.6,4.32511
-0.55,4.32401
-0.5,4.32963
-0.45,4.34184
-0.4,4.36036
-0.35,4.38478
-0.3,4.41453
-0.25,4.44893
-0.2,4.48718
-0.15,4.52841
-0.1,4.57165
-0.05,4.61591
-9.39526e-15,4.66018
0.05,4.70342
0.1,4.74465
0.15,4.7829
0.2,4.8173
0.25,4.84705
0.3,4.87147
0.35,4.88999
0.4,4.9022
0.45,4.90782
0.5,4.90672
0.55,4.89895
0.6,4.88469
0.65,4.86428
0.7,4.83822
0.75,4.80711
0.8,4.77169
0.85,4.73278
0.9,4.69126
0.95,4.64808
1,4.6042
1.05,4.56058
1.1,4.51812
1.15,4.47772
1.2,4.44014
1.25,4.40608
1.3,4.37612
1.35,4.3507
1.4,4.33012
1.45,4.31456
1.5,4.30405
1.55,4.29848
1.6,4.29765
1.65,4.3012
1.7,4.30874
1.75,4.31977
1.8,4.33374
1.85,4.35009
1.9,4.36825
1.95,4.38765
2,4.40775
2.05,4.42806
2.1,4.44814
2.15,4.46761
2.2,4.48617
2.25,4.50355
2.3,4.51961
2.35,4.53421
2.4,4.54731
2.45,4.5589
2.5,4.56903
2.55,4.57776
2.6,4.58519
2.65,4.59144
2.7,4.59662
2.75,4.60087
2.8,4.60431
2.85,4.60706
2.9,4.60924
2.95,4.61094
3,4.61224
3.05,4.61324
3.1,4.61399
3.15,4.61454
3.2,4.61495
3.25,4.61524
3.3,4.61545
3.35,4.6156
3.4,4.61571
3.45,4.61578
3.5,4.61582
3.55,4.61586
3.6,4.61588
3.65,4.61589
3.7,4.6159
3.75,4.61591
3.8,4.61591
3.85,4.61591
3.9,4.61591
3.95,4.61591
4,4.61591
4.05,4.61591
4.1,4.61591
4.15,4.61591
4.2,4.61591
4.25,4.61591
4.3,4.61591
4.35,4.61591
4.4,4.61591
4.45,4.61591
4.5,4.61591
4.55,4.61591
4.6,4.61591
4.65,4.61591
4.7,4.61592
4.75,4.61592
4.8,4.61592
4.85,4.61592
4.9,4.61592
4.95,4.61592
5,4.61593
5.05,4.61594
